's largest kingdom united kingdom ||| answer
stuffed pasta pocket 7 ||| answer
hymir really hammered hammer god ||| answer
1913 's treaty bucharest ended second peninsular wars ||| answer
first line twelfth night , described food love ||| answer
beam , beacon frequency preceder 5 ||| answer
name midgard , world humans , translated , place familiar tolkien ||| answer
1977 one phenomena devastated bucharest , killing 1 , 500 people ||| answer
albrecht durer 's first known drawing , done age 13 , one artistic efforts ||| answer
laerad great tree around hall slain built ||| answer
star 1937 's last gangster born emanuel goldenberg bucharest , romania ||| answer
boat race , italian style 7 ||| answer
mischief maker old tricks stole freya 's necklace ||| answer
1659 bucharest became capital principality ||| answer
comparing thee summer 's day sonnet 18 , bard realizes thou art lovely ||| answer
south american ostrich cousin 4 ||| answer
person died civil war featured confederate currency ||| answer
co author manifest der kommunisttischen partei born may 5 , 1818 ||| answer
're nuts n't know title hits seal , icehouse patsy cline ||| answer
state 's largest county , san bernardino , divided 1893 form riverside county ||| answer
eagles 1975 emotions 1977 hit 1 singing best ||| answer
ticonderoga 1 making 2 , introduced 1913 ||| answer
love wyoming senator enzi ! ||| answer
leadville rockies state usa 's highest incorporated city ||| answer
gorilla named koko learned communicate using gestures ||| answer
born may 5 , 1919 , giorgios papadopoulos became dictator country 1967 ||| answer
16 tablespoons equals one ||| answer
1 , 700 square miles , saline lake one largest lakes world outlet ||| answer
may 5 born monty python member bbc travel filmmaker commando order british empire ||| answer
sammy davis jr 1972 christina aguilera 2007 sang sweet guy ||| answer
geez house rules committee ranking democrat slaughter ||| answer
nome , alaska lies peninsula named 19th century secretary state ||| answer
iowa farmers wives first saw 1930 painting farm couple , many downright angry ||| answer
culinary foundation named dean american cookery born portland may 5 , 1903 ||| answer
11 letter word embroidery canvas , uniform spacing stitches pattern ||| answer
south carolina legislator john o'goshen ! ||| answer
2009 u mint issued quarter territory featuring ava bowl , whisk coconut tree ||| answer
man 's injected dead virus vaccine inspired albert sabin 's live virus oral vaccine polio ||| answer
1963 epic included 79 sets 26 , 000 costumes ||| answer
utah 's state tree blue type evergreen ||| answer
deadlocked jury 4 letter word ||| answer
u fifth army comes town june 4 year ||| answer
2 word term skeptic refers one jesus' apostles ||| answer
naturalist wrote , part would soon descended heroic little monkey ||| answer
seen , navajo bracelet features mineral ||| answer
type jury charged deciding whether 's enough evidence try person may 23 members ||| answer
michaelangelo paints sistine chapel century ||| answer
big hair style derived title mistress louis xv ||| answer
despite advocacy megadoses vitamin c , wife ava got cancer ||| answer
jeweler 's blue box registered trademark ||| answer
mussolini becomes prime minister decade ||| answer
abstain buying trade , honor irish landlord tactics used ||| answer
russian 's work gastrointestinal secretions animals earned nobel prize ||| answer
vase seen made semiprecious stone ||| answer
rome burns emperor relaxes villa antium century ||| answer
james dean , rock hudson liz formed love triangle texas set film ||| answer
blue type game fish , nigricans , long pointed bill ||| answer
selecting jurors , attorney may reject stated reason type challenge ||| answer
charlemagne crowned emperor pope leo iii day , 800 ||| answer
shortly received 1990 nobel peace prize , country ceased exist ||| answer
word meaning precedes annum diem ||| answer
type piece sounds like smoking pipe , 's article written flatter glorify subject ||| answer
sporting quintet , center considered 5 diagramming plays ||| answer
siege yorktown ||| answer
emma stone starred aspiring writer skeeter phelan '60s set drama based novel ||| answer
every christmas , indiana post office town named postmarks half million pieces mail ||| answer
foursome required play game try win rubber ||| answer
sarah clue crew presents nobel peace prize center oslo , norway henry dunant , founded international organization works relieve suffering , share first peace prize 1901 since , organization unprecedented three prizes ||| answer
busy 2011 , parts paul , horrible bosses change ||| answer
battle meuse argonne ||| answer
known work shakespearean actor , directed thor ||| answer
5 letter archaeological term broken scrap earthenware ||| answer
u n agency , created 1946 aid children europe , 1965 peace prize ||| answer
means , also prefix found diction ||| answer
kate bosworth james marsden star 2011 remake sam peckinpah film ||| answer
mean one military entity like army 's third armored division ||| answer
gas , co , prevents hemoglobin supplying oxygen body ||| answer
1964 please please ||| answer
james k polk president previously held position house representatives ||| answer
virginia 's father sir leslie stephen earlier married daughter vanity fair author ||| answer
2 word study living things primarily devoted carbon compounds ||| answer
1965 girl ||| answer
u president named great grandfather , signer declaration independence ||| answer
aka black lead , form carbon greasy feel used making lubricants ||| answer
time administration known era good feelings ||| answer
portuguese russian positive sim ||| answer
1904 virginia siblings moved london district , would host group gatherings ||| answer
1967 girl , 'll woman soon ||| answer
pre civil war president considered handsomest ||| answer
member nightshade family reached italy , known pomi d'oro , gold apple ||| answer
michael cunningham 's hours inspired novel woolf originally called hours ||| answer
nov 2 , 1880 member house representatives ohio , senator elect president elect ||| answer
also known butter beans , , prior exported europe , diet staple inca ||| answer
swahili german magic word tafadhali ||| answer
franklin pierce law center christa mcauliffe planetarium found capital new hampshire ||| answer
god make , granny smiths ||| answer
africa 's oldest democracy , nation headed pres ian khama mainly made tswana people ||| answer
sound made lions carry 5 miles ||| answer
darrell hammond played scottish actor nope , ca n't say anything else name ||| answer
new hampshire bounded north canadian province , country 's largest area ||| answer
lincoln green also called green , might see trees ||| answer
old song says , alas , love , wrong , cast discourteously ||| answer
troubles neighboring somalia eritrea surely occupy president girma woldegiorgis country ||| answer
django reinhardt master instrument ||| answer
new hampshire 's squam lakes provided title location 1981 fonda hepburn film ||| answer
